hour,day_shift,week_day,weekend,COZINHA_SENSOR_PRESENCA-021,COZINHA_CAFETEIRA-020,COZINHA_LAMPADA-019,switch,switch_Y
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,ON
7,1,2,0,ON,ON,ON,ON,OFF
7,1,2,0,ON,OFF,ON,OFF,OFF
7,1,2,0,ON,OFF,ON,OFF,OFF
7,1,2,0,ON,OFF,ON,OFF,OFF
7,1,2,0,ON,OFF,ON,OFF,OFF
7,1,2,0,ON,OFF,ON,OFF,OFF
7,1,2,0,ON,OFF,ON,OFF,OFF
7,1,2,0,ON,OFF,ON,OFF,OFF
7,1,2,0,ON,OFF,ON,OFF,OFF
7,1,2,0,ON,OFF,ON,OFF,OFF
7,1,2,0,ON,OFF,ON,OFF,OFF
7,1,2,0,ON,OFF,ON,OFF,OFF
7,1,2,0,ON,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
7,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
8,1,2,0,OFF,OFF,ON,OFF,OFF
